
테임즈	NC	142	595	472	180	86	42	5	47	130	140	103	11	13	91	7	7	7	40	8	0.381
박병호	넥센	140	622	528	181	92	35	1	53	129	146	78	6	12	161	4	4	10	10	3	0.343
박석민	삼성	135	559	448	144	93	25	0	26	90	116	83	0	19	97	8	9	12	3	1	0.321
강민호	롯데	123	456	380	118	64	18	1	35	63	86	60	2	14	112	2	2	14	0	0	0.311
나바로	삼성	140	643	534	153	85	19	1	48	126	137	93	8	6	72	9	10	11	22	6	0.287
유한준	넥센	139	598	520	188	122	42	1	23	103	116	67	2	2	71	8	9	13	3	3	0.362
김현수	두산	141	630	512	167	113	26	0	28	103	121	101	12	8	63	9	9	13	11	5	0.326
양의지	두산	132	513	442	144	97	27	0	20	70	93	39	3	24	64	6	8	8	5	4	0.326
김태균	한화	133	524	408	129	80	28	0	21	61	104	98	12	12	80	5	5	18	3	1	0.316
최형우	삼성	144	637	547	174	107	33	1	33	94	123	73	7	9	101	8	8	13	2	5	0.318
마르테	kt	115	487	425	148	95	32	1	20	85	89	51	7	2	60	8	8	19	0	0	0.348
최준석	롯데	144	618	507	155	105	18	1	31	78	109	108	4	1	134	1	2	17	0	0	0.306
아두치	롯데	132	594	526	165	98	34	5	28	105	106	55	8	8	118	4	5	9	24	10	0.314
박경수	kt	137	537	440	125	72	30	1	22	75	73	74	1	13	115	4	10	8	6	4	0.284
나성범	NC	144	622	564	184	117	34	5	28	112	135	33	1	14	127	8	10	9	23	4	0.326
이용규	한화	124	585	493	168	142	15	7	4	94	42	68	5	9	45	3	14	4	28	10	0.341
정근우	한화	126	552	468	148	104	30	2	12	99	66	61	1	8	66	2	15	14	21	6	0.316
김하성	넥센	140	582	511	148	89	35	5	19	89	73	56	2	5	114	6	9	10	22	4	0.29
구자욱	삼성	116	465	410	143	94	33	5	11	97	57	45	0	6	79	4	4	3	17	7	0.349
이범호	KIA	138	514	437	118	65	25	0	28	60	79	57	1	16	91	4	4	16	3	4	0.27
박민우	NC	141	617	520	158	118	31	6	3	111	47	73	0	14	108	7	10	4	46	16	0.304
황재균	롯데	144	596	534	155	86	41	2	26	95	97	48	1	4	122	6	10	14	11	10	0.29
김경언	한화	107	437	377	127	89	21	1	16	58	78	50	3	2	89	3	8	9	1	4	0.337
손아섭	롯데	116	517	445	141	99	28	1	13	86	54	68	3	1	96	3	3	6	11	6	0.317
이승엽	삼성	122	522	470	156	101	28	1	26	87	90	40	2	6	71	6	6	10	2	1	0.332
최정	SK	81	330	275	81	47	17	0	17	43	58	46	2	5	78	3	4	6	5	2	0.295
김재호	두산	133	488	410	126	96	24	3	3	63	50	54	0	3	42	7	21	18	7	2	0.307
박용택	LG	128	533	487	159	111	28	2	18	66	83	34	1	4	73	7	8	12	11	4	0.326
정훈	롯데	135	562	486	146	108	27	2	9	85	62	52	2	14	102	3	10	14	16	6	0.3
오지환	LG	138	566	497	138	82	41	4	11	76	56	59	1	4	121	3	6	2	25	10	0.278
최진행*	한화	109	410	333	97	62	17	0	18	55	64	65	6	4	101	3	8	9	0	3	0.291
이택근	넥센	105	401	347	113	86	16	1	10	61	44	44	4	3	53	4	7	8	11	6	0.326
김주찬	KIA	98	377	333	109	66	23	2	18	66	62	23	3	12	58	8	9	10	8	2	0.327
필	KIA	143	591	536	174	116	35	1	22	81	101	43	6	3	74	8	8	12	14	10	0.325
스나이더	넥센	113	487	431	121	68	26	1	26	88	71	37	0	11	135	4	7	2	4	2	0.281
정의윤	SK	59	222	193	66	41	11	0	14	35	44	20	0	7	27	2	2	3	3	0	0.342
브라운	SK	138	539	464	121	70	21	2	28	82	76	66	4	7	127	2	2	12	5	2	0.261
김민성	넥센	118	489	445	135	95	24	0	16	60	71	31	1	8	62	3	5	16	1	1	0.303
이호준	NC	131	518	449	132	83	25	0	24	48	110	61	7	3	102	2	5	16	0	2	0.294
박한이	삼성	94	429	367	110	78	17	4	11	62	52	53	0	1	63	1	8	10	6	6	0.3
채태인	삼성	104	373	333	116	89	19	0	8	35	49	33	3	3	92	4	4	10	0	2	0.348
