Name	Team	G	GS	CG	SHO	QS	TBF	H	2B	3B	HR	R	ER	K	BB	IBB	HBP	WP	BK	IP
소사	LG	32	30	2	1	19	809	199	39	7	16	102	87	177	36	0	5	6	1	194.1
밴헤켄	넥센	32	32	0	0	16	825	190	36	3	14	92	79	193	67	1	1	16	0	196.2
해커	NC	31	31	1	0	25	833	174	34	0	14	81	71	164	36	1	25	6	0	204
윤성환	삼성	30	30	3	1	17	809	199	34	4	27	86	81	164	30	0	10	1	0	194
린드블럼	롯데	32	32	2	1	23	861	196	32	3	28	86	83	180	52	0	12	12	0	210
우규민	LG	25	25	1	0	13	621	163	26	5	13	64	58	119	17	0	12	2	0	152.2
켈리	SK	30	29	1	0	17	775	188	28	1	16	87	83	139	54	1	5	9	2	181
스튜어트	NC	19	19	0	0	10	488	116	16	1	7	37	35	109	26	0	6	4	1	117.2
김광현	SK	30	29	1	1	16	754	173	33	0	19	86	73	160	66	2	3	10	0	176.2
양현종	KIA	32	31	1	1	19	756	150	27	2	18	52	50	157	78	0	7	6	0	184.1
유희관	두산	30	30	1	1	17	786	193	33	5	23	84	83	126	44	0	4	4	0	189.2
차우찬	삼성	31	29	0	0	17	743	160	36	1	28	98	92	194	74	1	5	9	1	173
레일리	롯데	31	30	1	0	19	768	182	27	2	20	93	78	134	57	2	15	13	2	179.1
장원준	두산	30	30	1	0	17	748	182	35	2	13	86	77	128	68	1	14	4	0	169.2
피가로	삼성	25	25	1	0	18	688	154	26	3	16	66	62	117	51	0	7	6	0	165
옥스프링	kt	31	31	3	0	15	806	200	33	0	23	104	92	142	66	0	10	5	0	185
피어밴드	넥센	30	30	0	0	18	774	202	34	7	23	101	92	137	61	1	12	7	3	177.1
로저스	한화	10	10	4	3	6	296	62	8	2	2	26	25	60	20	0	4	1	1	75.2
루카스	LG	33	30	0	0	12	785	175	21	1	11	103	94	151	108	4	14	11	1	171.2
정우람	SK	69	0	0	0	0	287	52	12	0	3	25	25	90	28	5	1	3	0	70
클로이드	삼성	28	28	0	0	14	705	190	36	0	24	103	92	123	38	0	12	3	1	159.2
박종훈	SK	33	23	0	0	7	530	123	27	0	7	74	68	105	53	1	17	5	0	118
윤석민	KIA	51	0	0	0	0	297	69	11	4	4	23	23	68	24	7	2	1	0	70
니퍼트	두산	20	16	0	0	6	404	104	21	0	4	54	51	76	33	0	4	4	0	90
한현희	넥센	45	17	0	0	6	542	126	18	2	14	70	66	122	41	0	13	3	0	123.1
탈보트	한화	30	30	1	0	15	695	153	26	1	11	93	82	120	85	4	13	11	4	156.1
장시환	kt	47	0	0	0	0	308	73	13	2	1	33	33	75	28	2	1	6	0	74.2
김재윤	kt	42	0	0	0	0	188	46	9	0	3	23	21	70	12	2	1	1	0	44.2
송승준	롯데	25	23	0	0	10	551	131	19	1	17	71	66	112	46	1	4	8	0	125
임창용	삼성	55	0	0	0	0	219	45	8	1	2	17	17	71	13	2	3	1	0	54
손민한	NC	26	19	0	0	5	444	122	22	1	8	65	57	50	15	0	5	3	0	105
안지만	삼성	66	0	0	0	0	323	76	18	2	8	29	29	96	26	2	2	2	0	78.1
이재학	NC	29	23	0	0	5	545	115	15	1	17	58	57	116	58	1	9	5	0	125
스와잭	두산	20	17	0	0	5	414	110	19	1	9	57	54	72	30	1	4	4	1	92.1
조무근	kt	43	1	0	0	0	298	54	11	2	3	26	15	83	32	1	4	6	0	71.2
임준혁	KIA	27	21	0	0	6	514	125	23	1	11	58	54	73	43	1	8	3	0	118.2
스틴슨	KIA	32	30	0	0	12	756	190	30	6	15	100	92	93	64	0	14	4	0	167
심수창	롯데	39	6	0	0	1	340	99	14	0	9	56	49	76	29	4	3	14	0	73.1
마야	두산	13	13	1	1	4	317	83	13	3	6	62	62	62	31	2	5	1	2	68.1
임창민	NC	61	0	0	0	0	266	57	5	2	7	28	27	72	21	2	1	3	0	64
임정우	LG	54	11	0	0	0	501	123	32	2	8	65	61	99	50	4	14	8	1	109
밴와트	SK	12	12	0	0	3	245	70	15	1	5	29	29	50	13	0	2	2	1	56.1
이태양	NC	29	25	0	0	7	591	141	27	2	19	59	56	113	40	1	19	0	1	137.1
조상우	넥센	70	0	0	0	0	382	65	15	2	4	36	32	89	41	2	6	7	0	93.1
저마노	kt	15	14	0	0	5	347	111	17	2	7	46	42	40	15	0	3	1	0	76.2
박정진	한화	76	0	0	0	0	411	84	12	1	8	37	33	92	39	3	5	7	0	96
윤지웅	LG	78	0	0	0	0	245	47	6	1	3	26	26	54	17	0	1	4	0	62
이현승	두산	41	0	0	0	0	191	45	9	0	3	16	15	41	10	2	2	2	0	46.2
유먼	한화	17	17	0	0	6	406	96	16	0	9	52	46	56	38	1	4	3	0	91.2
이동현	LG	60	0	0	0	0	258	65	13	0	4	33	29	55	20	5	2	7	0	59.1
이현호	두산	49	7	0	0	2	377	83	6	2	8	43	40	87	35	0	4	17	0	86
류제국	LG	24	23	0	0	11	572	134	20	3	16	72	69	88	55	1	14	17	0	130
함덕주	두산	68	0	0	0	0	278	52	10	1	4	30	25	76	46	1	2	2	1	61.2
윤희상	SK	21	21	0	0	6	415	113	24	3	15	65	61	67	34	2	3	2	0	93.1
손승락	넥센	58	0	0	0	0	272	73	7	1	6	35	26	63	13	2	3	1	0	61.1
심창민	삼성	61	0	0	0	0	280	54	13	0	7	32	32	91	24	1	5	2	0	67.1
이민호	NC	64	6	0	0	1	436	103	23	5	15	62	54	103	41	3	6	8	1	96
윤규진	한화	40	0	0	0	0	205	39	6	0	3	15	15	48	21	3	0	2	0	50.2
임정호	NC	80	0	0	0	0	200	31	3	0	2	21	20	54	27	1	5	3	0	48
세든	SK	14	14	1	1	8	319	77	15	0	12	42	41	67	28	0	5	6	0	74
장원삼	삼성	26	25	0	0	9	599	151	32	2	29	96	88	107	50	1	1	3	0	136.2
전유수	SK	66	0	0	0	0	337	66	12	1	9	39	38	84	42	5	5	2	0	77.2
안영명	한화	35	27	0	0	4	568	137	23	1	15	77	71	82	60	1	11	5	0	125.1
진야곱	두산	47	14	0	0	2	486	120	26	0	12	88	80	108	68	0	3	9	1	102.2
김대우	넥센	47	1	0	0	0	318	81	14	3	8	44	39	63	31	1	6	4	0	71
심동섭	KIA	69	0	0	0	0	257	47	9	0	7	35	32	71	43	3	3	5	0	57.1
에반	KIA	16	1	0	0	1	115	30	3	0	0	15	13	25	13	0	1	4	0	26.1
신재웅	SK	61	0	0	0	0	236	72	15	2	5	28	23	49	17	0	4	0	0	50.1
